Facility (Host_description), Count
c403-124.stampede2.tacc.utexas.edu,2
c403-132.stampede2.tacc.utexas.edu,1
c403-134.stampede2.tacc.utexas.edu,1
c404-001.stampede2.tacc.utexas.edu,2
c404-002.stampede2.tacc.utexas.edu,2
c404-003.stampede2.tacc.utexas.edu,3
c404-004.stampede2.tacc.utexas.edu,3
c404-011.stampede2.tacc.utexas.edu,1
c404-012.stampede2.tacc.utexas.edu,3
c404-021.stampede2.tacc.utexas.edu,1
c404-022.stampede2.tacc.utexas.edu,1
c404-023.stampede2.tacc.utexas.edu,3
c404-031.stampede2.tacc.utexas.edu,2
c404-032.stampede2.tacc.utexas.edu,3
c404-033.stampede2.tacc.utexas.edu,3
c404-034.stampede2.tacc.utexas.edu,2
c404-041.stampede2.tacc.utexas.edu,3
c404-042.stampede2.tacc.utexas.edu,4
c404-043.stampede2.tacc.utexas.edu,1
c404-044.stampede2.tacc.utexas.edu,1
c404-051.stampede2.tacc.utexas.edu,1
c404-052.stampede2.tacc.utexas.edu,1
c404-061.stampede2.tacc.utexas.edu,2
c404-062.stampede2.tacc.utexas.edu,2
c404-063.stampede2.tacc.utexas.edu,1
c404-064.stampede2.tacc.utexas.edu,1
c404-071.stampede2.tacc.utexas.edu,2
c404-072.stampede2.tacc.utexas.edu,1
c404-073.stampede2.tacc.utexas.edu,1
c404-074.stampede2.tacc.utexas.edu,1
c404-082.stampede2.tacc.utexas.edu,2
c404-084.stampede2.tacc.utexas.edu,1
c404-091.stampede2.tacc.utexas.edu,1
c404-093.stampede2.tacc.utexas.edu,2
c404-094.stampede2.tacc.utexas.edu,1
c404-101.stampede2.tacc.utexas.edu,2
c404-102.stampede2.tacc.utexas.edu,2
c404-104.stampede2.tacc.utexas.edu,2
c404-111.stampede2.tacc.utexas.edu,1
c404-113.stampede2.tacc.utexas.edu,2
c404-121.stampede2.tacc.utexas.edu,1
c404-123.stampede2.tacc.utexas.edu,1
c404-124.stampede2.tacc.utexas.edu,1
c404-131.stampede2.tacc.utexas.edu,1
c404-132.stampede2.tacc.utexas.edu,1
c404-133.stampede2.tacc.utexas.edu,1
c404-134.stampede2.tacc.utexas.edu,2
c405-001.stampede2.tacc.utexas.edu,2
c405-002.stampede2.tacc.utexas.edu,2
c405-003.stampede2.tacc.utexas.edu,3
c405-004.stampede2.tacc.utexas.edu,1
c405-011.stampede2.tacc.utexas.edu,1
c405-012.stampede2.tacc.utexas.edu,1
c405-013.stampede2.tacc.utexas.edu,1
c405-014.stampede2.tacc.utexas.edu,3
c405-022.stampede2.tacc.utexas.edu,2
c405-023.stampede2.tacc.utexas.edu,2
c405-024.stampede2.tacc.utexas.edu,1
c405-031.stampede2.tacc.utexas.edu,1
c405-032.stampede2.tacc.utexas.edu,1
c405-033.stampede2.tacc.utexas.edu,1
c405-041.stampede2.tacc.utexas.edu,3
c405-042.stampede2.tacc.utexas.edu,1
c405-044.stampede2.tacc.utexas.edu,2
c405-051.stampede2.tacc.utexas.edu,1
c405-053.stampede2.tacc.utexas.edu,1
c405-062.stampede2.tacc.utexas.edu,2
c405-063.stampede2.tacc.utexas.edu,2
c405-064.stampede2.tacc.utexas.edu,5
c405-071.stampede2.tacc.utexas.edu,1
c405-072.stampede2.tacc.utexas.edu,2
c405-073.stampede2.tacc.utexas.edu,2
c405-081.stampede2.tacc.utexas.edu,2
c405-082.stampede2.tacc.utexas.edu,2
c405-083.stampede2.tacc.utexas.edu,1
c405-091.stampede2.tacc.utexas.edu,1
c405-094.stampede2.tacc.utexas.edu,1
